,index,close,predictions,%error,Inc/Dec
396,396,0.141117202,0.20856586,32.33926128,-1
397,397,0.131623129,0.18968996,30.6114415,-1
398,398,0.127582923,0.17199224,25.82053531,-1
399,399,0.119921719,0.18409464,34.85865792,-1
400,400,0.124472762,0.19698846,36.81215564,-1
401,401,0.129050957,0.19696459,34.48012319,-1
402,402,0.1253533,0.19769403,36.59226844,-1
403,403,0.125663964,0.18189421,30.91370881,-1
404,404,0.125840273,0.16529155,23.86769159,-1
405,405,0.126076895,0.16507658,23.6252076,-1
406,406,0.118864301,0.16294295,27.05158387,-1
407,407,0.110193893,0.14249703,22.66934022,-1
408,408,0.117110407,0.14439529,18.89596459,-1
409,409,0.124344012,0.14439529,13.88637957,-1
410,410,0.124236743,0.14374983,13.57433744,-1
411,411,0.122816906,0.14351386,14.42157126,-1
412,412,0.121827757,0.14374983,15.25015605,-1
413,413,0.121490007,0.14396077,15.60894879,-1
414,414,0.117583887,0.14396077,18.32227114,-1
